time,founder,unselected,contact_FDC,FDC_selected,contact_TC,TC_Selected_by_TC,recycled,apoptosis,affinity,std_affinity,CC_IDs,CB,CC,Pr,Apoptotic
50.000000,687.000000,65.000000,0.000000,0.000000,0.000000,0.000000,0.000000,424.000000,4.502335406842265E-06,7.330224150271156E-05,Prueba,687,65,Pr,424
51.000000,676.000000,70.000000,0.000000,0.000000,0.000000,0.000000,0.000000,468.000000,1.358777003863815E-05,0.0003200014820001554,Prueba,676,70,Pr,468
52.000000,684.000000,44.000000,0.000000,0.000000,0.000000,0.000000,0.000000,501.000000,1.358375281974011E-05,0.0003180923029149388,Prueba,684,44,Pr,501
53.000000,691.000000,50.000000,0.000000,0.000000,0.000000,0.000000,0.000000,513.000000,1.341915037724237E-05,0.0003149128203303263,Prueba,691,50,Pr,513
54.000000,697.000000,60.000000,0.000000,0.000000,0.000000,0.000000,0.000000,545.000000,1.284750058319264E-05,0.000309004963656045,Prueba,697,60,Pr,545
55.000000,693.000000,76.000000,0.000000,0.000000,0.000000,0.000000,0.000000,558.000000,1.244173273750507E-05,0.0003060366275834257,Prueba,693,76,Pr,558
56.000000,709.000000,42.000000,0.000000,0.000000,0.000000,0.000000,0.000000,582.000000,1.045433975964103E-05,0.0002980076865364548,Prueba,709,42,Pr,582
57.000000,702.000000,64.000000,0.000000,0.000000,0.000000,0.000000,0.000000,599.000000,1.022525935569195E-05,0.0002944967814384638,Prueba,702,64,Pr,599
58.000000,712.000000,40.000000,0.000000,0.000000,0.000000,0.000000,0.000000,612.000000,1.182073687803211E-05,0.0002993334809795626,Prueba,712,40,Pr,612
59.000000,727.000000,51.000000,0.000000,0.000000,0.000000,0.000000,0.000000,601.000000,1.097868279294227E-05,0.0002954018714084299,Prueba,727,51,Pr,601
60.000000,721.000000,63.000000,0.000000,0.000000,0.000000,0.000000,0.000000,610.000000,1.089268434033291E-05,0.0002938106238981479,Prueba,721,63,Pr,610
61.000000,747.000000,47.000000,0.000000,0.000000,0.000000,0.000000,0.000000,617.000000,1.908691876487341E-05,0.0004108663177048655,Prueba,747,47,Pr,617
